"","RegionCode","Date","C1M_School.closing","C2M_Workplace.closing","C6M_Stay.at.home.requirements","H6M_Facial.Coverings","MajorityVaccinated","PopulationVaccinated"
"1118","US_AK",20200122,0,0,0,0,"NV",0
"1119","US_AK",20200123,0,0,0,0,"NV",0
"1120","US_AK",20200124,0,0,0,0,"NV",0
"1121","US_AK",20200125,0,0,0,0,"NV",0
"1122","US_AK",20200126,0,0,0,0,"NV",0
"1123","US_AK",20200127,0,0,0,0,"NV",0
"1124","US_AK",20200128,0,0,0,0,"NV",0
"1125","US_AK",20200129,0,0,0,0,"NV",0
"1126","US_AK",20200130,0,0,0,0,"NV",0
"1127","US_AK",20200131,0,0,0,0,"NV",0
"1128","US_AK",20200201,0,0,0,0,"NV",0
"1129","US_AK",20200202,0,0,0,0,"NV",0
"1130","US_AK",20200203,0,0,0,0,"NV",0
"1131","US_AK",20200204,0,0,0,0,"NV",0
"1132","US_AK",20200205,0,0,0,0,"NV",0
"1133","US_AK",20200206,0,0,0,0,"NV",0
"1134","US_AK",20200207,0,0,0,0,"NV",0
"1135","US_AK",20200208,0,0,0,0,"NV",0
"1136","US_AK",20200209,0,0,0,0,"NV",0
"1137","US_AK",20200210,0,0,0,0,"NV",0
"1138","US_AK",20200211,0,0,0,0,"NV",0
"1139","US_AK",20200212,0,0,0,0,"NV",0
"1140","US_AK",20200213,0,0,0,0,"NV",0
"1141","US_AK",20200214,0,0,0,0,"NV",0
"1142","US_AK",20200215,0,0,0,0,"NV",0
"1143","US_AK",20200216,0,0,0,0,"NV",0
"1144","US_AK",20200217,0,0,0,0,"NV",0
"1145","US_AK",20200218,0,0,0,0,"NV",0
"1146","US_AK",20200219,0,0,0,0,"NV",0
"1147","US_AK",20200220,0,0,0,0,"NV",0
"1148","US_AK",20200221,0,0,0,0,"NV",0
"1149","US_AK",20200222,0,0,0,0,"NV",0
"1150","US_AK",20200223,0,0,0,0,"NV",0
"1151","US_AK",20200224,0,0,0,0,"NV",0
"1152","US_AK",20200225,0,0,0,0,"NV",0
"1153","US_AK",20200226,0,0,0,0,"NV",0
"1154","US_AK",20200227,0,0,0,0,"NV",0
"1155","US_AK",20200228,0,0,0,0,"NV",0
"1156","US_AK",20200229,0,0,0,0,"NV",0
"1157","US_AK",20200301,0,0,0,0,"NV",0
"1158","US_AK",20200302,0,0,0,0,"NV",0
"1159","US_AK",20200303,0,0,0,0,"NV",0
"1160","US_AK",20200304,0,0,0,0,"NV",0
"1161","US_AK",20200305,0,0,0,0,"NV",0
"1162","US_AK",20200306,0,0,0,0,"NV",0
"1163","US_AK",20200307,0,0,0,0,"NV",0
"1164","US_AK",20200308,0,0,0,0,"NV",0
"1165","US_AK",20200309,0,0,0,0,"NV",0
"1166","US_AK",20200310,0,0,0,0,"NV",0
"1167","US_AK",20200311,0,0,0,0,"NV",0
"1168","US_AK",20200312,0,0,0,0,"NV",0
"1169","US_AK",20200313,1,1,0,0,"NV",0
"1170","US_AK",20200314,1,1,0,0,"NV",0
"1171","US_AK",20200315,1,1,0,0,"NV",0
"1172","US_AK",20200316,3,2,0,0,"NV",0
"1173","US_AK",20200317,3,2,0,0,"NV",0
"1174","US_AK",20200318,3,2,0,0,"NV",0
"1175","US_AK",20200319,3,2,0,0,"NV",0
"1176","US_AK",20200320,3,2,0,0,"NV",0
"1177","US_AK",20200321,3,2,0,0,"NV",0
"1178","US_AK",20200322,3,3,2,0,"NV",0
"1179","US_AK",20200323,3,3,2,0,"NV",0
"1180","US_AK",20200324,3,3,2,0,"NV",0
"1181","US_AK",20200325,3,3,2,0,"NV",0
"1182","US_AK",20200326,3,3,2,0,"NV",0
"1183","US_AK",20200327,3,3,2,0,"NV",0
"1184","US_AK",20200328,3,3,2,0,"NV",0
"1185","US_AK",20200329,3,3,2,0,"NV",0
"1186","US_AK",20200330,3,3,2,0,"NV",0
"1187","US_AK",20200331,3,3,2,0,"NV",0
"1188","US_AK",20200401,3,3,2,0,"NV",0
"1189","US_AK",20200402,3,3,2,0,"NV",0
"1190","US_AK",20200403,3,3,2,0,"NV",0
"1191","US_AK",20200404,3,3,2,1,"NV",0
"1192","US_AK",20200405,3,3,2,1,"NV",0
"1193","US_AK",20200406,3,3,2,1,"NV",0
"1194","US_AK",20200407,3,3,2,1,"NV",0
"1195","US_AK",20200408,3,3,2,1,"NV",0
"1196","US_AK",20200409,3,3,2,1,"NV",0
"1197","US_AK",20200410,3,3,2,1,"NV",0
"1198","US_AK",20200411,3,3,2,1,"NV",0
"1199","US_AK",20200412,3,3,2,1,"NV",0
"1200","US_AK",20200413,3,3,2,1,"NV",0
"1201","US_AK",20200414,3,3,2,1,"NV",0
"1202","US_AK",20200415,3,3,2,1,"NV",0
"1203","US_AK",20200416,3,3,2,1,"NV",0
"1204","US_AK",20200417,3,3,2,1,"NV",0
"1205","US_AK",20200418,3,3,2,1,"NV",0
"1206","US_AK",20200419,3,3,2,1,"NV",0
"1207","US_AK",20200420,3,3,2,1,"NV",0
"1208","US_AK",20200421,3,3,2,1,"NV",0
"1209","US_AK",20200422,3,3,2,1,"NV",0
"1210","US_AK",20200423,3,3,2,1,"NV",0
"1211","US_AK",20200424,3,2,1,1,"NV",0
